,black,female,vprev,age,edu,age_edu,state,region,y
1,0,1,0.526566670163472,2,4,8,39,1,1
2,0,1,0.564166665871938,4,2,14,31,1,0
3,0,1,0.566633343823751,1,3,3,7,1,0
4,0,1,0.52436664425532,2,2,6,33,1,1
5,0,1,0.52436664425532,4,4,16,33,1,1
6,0,0,0.526566670163472,2,2,6,39,1,1
7,0,1,0.549599981244405,4,2,14,20,1,1
8,0,0,0.52436664425532,3,4,12,33,1,0
9,0,0,0.478700007629395,3,1,9,40,1,0
10,0,1,0.564166665871938,2,4,8,31,1,0
11,0,1,0.52436664425532,4,3,15,33,1,1
12,0,1,0.52436664425532,2,4,8,33,1,1
13,0,1,0.564166665871938,2,4,8,31,1,0
14,0,1,0.489766651884715,2,4,8,22,1,0
15,0,0,0.564166665871938,4,2,14,31,1,1
16,0,0,0.526566670163472,4,1,13,39,1,1
17,0,1,0.564166665871938,1,2,2,31,1,0
18,0,0,0.52436664425532,2,3,7,33,1,0
19,0,1,0.52436664425532,4,3,15,33,1,0
20,0,0,0.566633343823751,1,2,2,7,1,0
21,0,0,0.526566670163472,3,2,10,39,1,1
22,0,0,0.52436664425532,2,4,8,33,1,0
23,0,0,0.52436664425532,2,4,8,33,1,1
24,0,1,0.489766651884715,3,4,12,22,1,0
25,0,0,0.564166665871938,1,2,2,31,1,1
26,0,1,0.564166665871938,3,4,12,31,1,1
27,0,1,0.564166665871938,4,3,15,31,1,0
28,0,0,0.489766651884715,2,1,5,22,1,0
29,0,1,0.52436664425532,3,2,10,33,1,0
30,0,0,0.594033358287811,4,1,13,44,3,0
31,0,0,0.489766651884715,2,3,7,22,1,0
32,0,0,0.526566670163472,2,4,8,39,1,0
33,0,0,0.52436664425532,1,3,3,33,1,0
34,0,1,0.611633290735881,2,2,6,10,3,0
35,0,1,0.564166665871938,4,1,13,31,1,1
36,0,1,0.539733344459534,3,2,10,4,3,1
37,0,1,0.564166665871938,3,2,10,31,1,1
38,0,0,0.594033358287811,3,4,12,44,3,0
39,0,1,0.537000003655752,2,2,6,14,2,1
40,0,0,0.572766618665059,3,4,12,41,3,1
41,0,1,0.489766651884715,1,4,4,22,1,1
42,0,0,0.611633290735881,1,1,1,10,3,1
43,0,1,0.572766618665059,2,4,8,41,3,1
44,0,0,0.526566670163472,1,3,3,39,1,1
45,0,1,0.572766618665059,2,4,8,41,3,1
46,0,0,0.584099987602234,3,2,10,19,3,1
47,0,1,0.537000003655752,2,2,6,14,2,0
48,0,1,0.608066638533274,2,4,8,47,3,0
49,0,1,0.603233325068156,3,1,9,37,3,0
50,0,1,0.489766651884715,1,4,4,22,1,0
51,0,1,0.564166665871938,3,1,9,31,1,1
52,0,1,0.523033343982697,2,3,7,11,3,0
53,0,0,0.552200000635783,1,3,3,36,2,1
54,0,0,0.505500021378199,2,2,6,24,2,1
55,0,1,0.584099987602234,2,2,6,19,3,1
56,0,0,0.566633343823751,2,3,7,7,1,1
57,0,0,0.582999997297923,1,4,4,25,3,1
58,1,1,0.152999997138977,2,4,8,9,5,0
59,0,1,0.608066638533274,4,1,13,47,3,0
60,0,0,0.602099974091848,4,1,13,17,2,0
61,0,1,0.533566686375936,2,2,6,26,2,0
62,0,1,0.493566658401489,2,2,6,49,1,0
63,0,0,0.537000003655752,2,4,8,14,2,1
64,0,1,0.529166691144307,2,3,7,18,3,0
65,0,1,0.501166654507319,2,4,8,21,1,0
66,0,1,0.603233325068156,3,4,12,37,3,1
67,1,0,0.572766618665059,1,2,2,41,3,1
68,0,1,0.523033343982697,1,3,3,11,3,1
69,0,1,0.554300017801921,2,3,7,43,3,1
70,0,0,0.537000003655752,3,4,12,14,2,0
71,0,0,0.52436664425532,1,2,2,33,1,1
72,0,0,0.582999997297923,1,2,2,25,3,1
73,0,1,0.493566658401489,2,3,7,49,1,1
74,0,1,0.584099987602234,2,4,8,19,3,1
75,0,1,0.582999997297923,3,2,10,25,3,1
76,0,0,0.594033358287811,2,4,8,44,3,1
77,0,0,0.554300017801921,3,1,9,43,3,1
78,0,0,0.608066638533274,2,3,7,47,3,1
